movie_title,genre,release_date,year,runtime,rating,number_of_voters,approval_index,budget,domestic_revenue,international_revenue,difference_of_revenue,indicator
Escape Room: Tournament of Champions (2021),Horror,7/1/2021,2021,88,5.7,47565,4.384810905,15000000,25314753,53493064,63807817,Profit
Eternals (2021),Action,11/3/2021,2021,156,6.3,346556,5.780779113,200000000,164870264,401731759,366602023,Profit
Eternals (2021),Adventure,11/3/2021,2021,156,6.3,346556,5.780779113,200000000,164870264,401731759,366602023,Profit
Eternals (2021),Fantasy,11/3/2021,2021,156,6.3,346556,5.780779113,200000000,164870264,401731759,366602023,Profit
F9: The Fast Saga (2021),Action,5/20/2021,2021,143,5.2,135716,4.389748057,200000000,173005945,720752238,693758183,Profit
F9: The Fast Saga (2021),Crime,5/20/2021,2021,143,5.2,135716,4.389748057,200000000,173005945,720752238,693758183,Profit
F9: The Fast Saga (2021),Thriller,5/20/2021,2021,143,5.2,135716,4.389748057,200000000,173005945,720752238,693758183,Profit
Ghostbusters: Afterlife (2021),Adventure,11/18/2021,2021,124,7.1,186026,6.206581609,75000000,129360575,203614138,257974713,Profit
Ghostbusters: Afterlife (2021),Comedy,11/18/2021,2021,124,7.1,186026,6.206581609,75000000,129360575,203614138,257974713,Profit
Ghostbusters: Afterlife (2021),Fantasy,11/18/2021,2021,124,7.1,186026,6.206581609,75000000,129360575,203614138,257974713,Profit
Godzilla vs. Kong (2021),Action,3/25/2021,2021,113,6.3,213088,5.555349655,155000000,100916094,468043852,413959946,Profit
Godzilla vs. Kong (2021),Sci-Fi,3/25/2021,2021,113,6.3,213088,5.555349655,155000000,100916094,468043852,413959946,Profit
Godzilla vs. Kong (2021),Thriller,3/25/2021,2021,113,6.3,213088,5.555349655,155000000,100916094,468043852,413959946,Profit
Halloween Kills (2021),Horror,10/14/2021,2021,105,5.5,88325,4.476788789,20000000,92002155,130851162,202853317,Profit
Halloween Kills (2021),Thriller,10/14/2021,2021,105,5.5,88325,4.476788789,20000000,92002155,130851162,202853317,Profit
House of Gucci (2021),Biography,11/24/2021,2021,158,6.6,139874,5.62174978,75000000,53809574,147474138,126283712,Profit
House of Gucci (2021),Crime,11/24/2021,2021,158,6.6,139874,5.62174978,75000000,53809574,147474138,126283712,Profit
House of Gucci (2021),Drama,11/24/2021,2021,158,6.6,139874,5.62174978,75000000,53809574,147474138,126283712,Profit
In the Heights (2021),Drama,6/10/2021,2021,143,7.3,48214,5.6599185,55000000,29975167,43646976,18622143,Profit
In the Heights (2021),Musical,6/10/2021,2021,143,7.3,48214,5.6599185,55000000,29975167,43646976,18622143,Profit
In the Heights (2021),Romance,6/10/2021,2021,143,7.3,48214,5.6599185,55000000,29975167,43646976,18622143,Profit
Judas and the Black Messiah (2021),Biography,2/12/2021,2021,126,7.4,82358,6.030773342,26000000,5478009,7053949,-13468042,Loss
Judas and the Black Messiah (2021),Drama,2/12/2021,2021,126,7.4,82358,6.030773342,26000000,5478009,7053949,-13468042,Loss
Judas and the Black Messiah (2021),History,2/12/2021,2021,126,7.4,82358,6.030773342,26000000,5478009,7053949,-13468042,Loss
